平安银行
date 	 , 开盘价 	 , 最高价 	, 收盘价 	 , 最低价 	 , 交易量（股） 	 ,  交易金额（元） 
2016-03-07,10.350,10.490,10.340,10.300,60635296,630155584
2016-03-04,10.090,10.500,10.400,10.070,138124912,1429273088
2016-03-03,10.090,10.180,10.110,10.040,55308940,559045184
2016-03-02,9.750,10.130,10.100,9.720,67661376,673626240
2016-03-01,9.620,9.770,9.700,9.580,37791080,365149024
2016-02-29,9.790,9.810,9.560,9.420,56689640,542184000
2016-02-26,9.770,9.830,9.790,9.660,39215440,382634656
2016-02-25,10.120,10.130,9.670,9.600,62207284,615004736
2016-02-24,10.060,10.150,10.150,10.010,30010360,302498016
2016-02-23,10.290,10.290,10.120,10.050,42587436,432315296
2016-02-22,10.130,10.310,10.290,10.060,61773944,630251520
2016-02-19,10.090,10.140,10.040,9.990,31889824,320939648
2016-02-18,10.180,10.220,10.090,10.090,40617824,412337568
2016-02-17,10.030,10.220,10.150,9.990,58516704,590538944
2016-02-16,9.840,10.030,10.010,9.830,42838640,427507776
2016-02-15,9.660,9.850,9.790,9.650,27849946,271173376
2016-02-05,9.960,9.970,9.920,9.910,27089334,269184384
2016-02-04,9.890,10.000,9.950,9.880,37309948,370586176
2016-02-03,9.850,9.890,9.850,9.770,27457216,269997824
2016-02-02,9.800,10.030,9.950,9.780,36910416,367360512
2016-02-01,9.980,10.010,9.800,9.740,41773216,412635648
2016-01-29,9.740,10.080,10.000,9.690,54443576,540544448
2016-01-28,9.820,9.890,9.690,9.650,30254078,296055328
2016-01-27,9.930,9.980,9.880,9.600,56903704,558510656
2016-01-26,10.320,10.320,9.870,9.860,64790112,653561600
2016-01-25,10.400,10.440,10.370,10.330,37643172,390734880
2016-01-22,10.400,10.450,10.400,10.220,46675216,482984448
2016-01-21,10.480,10.750,10.320,10.320,60614512,638127872
2016-01-20,10.700,10.800,10.540,10.440,60375248,640968960
2016-01-19,10.450,10.780,10.710,10.410,50110908,532074688
2016-01-18,10.340,10.560,10.410,10.300,42104088,439917824
2016-01-15,10.660,10.800,10.460,10.420,44820216,474908128
2016-01-14,10.590,10.800,10.770,10.480,66631456,708534976
2016-01-13,10.890,10.940,10.710,10.700,39170948,424371712
2016-01-12,10.830,10.910,10.810,10.640,56164232,605970816
2016-01-11,11.000,11.080,10.760,10.680,73201400,800683648
2016-01-08,11.210,11.290,11.120,10.900,74752760,831334528
2016-01-07,11.410,11.410,10.940,10.910,17476110,194869488
2016-01-06,11.420,11.560,11.530,11.390,51570644,591698496
2016-01-05,11.270,11.570,11.400,11.150,66326996,755531328
2016-01-04,12.000,12.030,11.330,11.230,56349788,660376128
