date 	 , opening_price 	 , highest_price 	, closing_price 	 , lowest_price 	 , volume(shares) 	 ,  transaction_amount(RMB) 
,13.180,13.180,13.180,13.180,1200,79000
,13.390,13.390,13.390,13.390,400,27000
,13.460,13.460,13.460,13.460,9000,606000
,13.530,13.530,13.530,13.530,400,27000
,13.600,13.600,13.600,13.600,400,27000
,13.740,13.740,13.740,13.740,1000,69000
,13.810,13.810,13.810,13.810,1200,83000
,13.880,13.880,13.880,13.880,1900,132000
,13.950,13.950,13.950,13.950,1500,105000
,14.020,14.020,14.020,14.020,2600,182000
,14.160,14.160,14.160,14.160,1300,92000
,14.230,14.230,14.230,14.230,3200,228000
,14.300,14.300,14.300,14.300,3900,279000
,14.370,14.370,14.370,14.370,1300,93000
,14.440,14.440,14.440,14.440,1500,108000
,14.580,14.580,14.580,14.580,1000,73000
,14.650,14.650,14.650,14.650,500,37000
,14.720,14.720,14.720,14.720,2100,154000
,14.790,14.790,14.790,14.790,2200,163000
,14.860,14.860,14.860,14.860,3000,222000
,15.010,15.010,15.010,15.010,2800,210000
,15.090,15.090,15.090,15.090,4600,347000
,15.170,15.170,15.170,15.170,25800,1957000
,15.250,15.250,15.250,15.250,10000,762000
,15.330,15.330,15.330,15.330,41000,3143000
,15.330,15.330,15.330,15.330,11600,889000
,15.250,15.250,15.250,15.250,3300,252000
,15.070,15.070,15.070,15.070,23600,1778000
,15.090,15.090,15.090,15.090,3300,249000
,14.940,14.940,14.940,14.940,6600,493000
,14.870,14.870,14.870,14.870,4800,357000
,14.800,14.800,14.800,14.800,2900,215000
,14.730,14.730,14.730,14.730,2900,213000
,14.660,14.660,14.660,14.660,5600,410000
,14.510,14.510,14.510,14.510,1700,123000
,14.580,14.580,14.580,14.580,300,22000
,6.550,6.600,6.550,6.500,44400,1457000
,6.400,6.600,6.400,6.400,40400,1315000
,6.100,6.400,6.100,6.100,23100,724000
,6.000,6.300,6.000,6.000,22100,676000
,6.300,6.450,6.300,6.050,266700,820000
,6.650,6.650,6.650,6.500,16600,544000
,6.800,6.800,6.800,6.500,24300,809000
,6.800,7.000,6.800,6.700,23800,816000
,6.750,6.900,6.750,6.700,14000,478000
,6.550,6.800,6.550,6.500,10400,344000
,7.400,7.400,7.400,6.800,15700,556000
,7.750,7.750,7.750,7.400,19800,746000
,7.850,8.050,7.850,7.600,25200,996000
,6.200,7.750,6.200,6.100,17300,613000
,7.500,7.500,7.500,7.500,1500,47000
,11.290,11.290,11.290,11.290,25300,1426000
,11.410,11.410,11.410,11.410,4100,804000
,11.590,11.590,11.590,11.590,31200,1791000
,11.530,11.530,11.530,11.530,48800,2813000
,11.470,11.470,11.470,11.470,38300,2196000
,11.410,11.410,11.410,11.410,53300,3041000
,11.290,11.290,11.290,11.290,37800,2134000
,11.230,11.230,11.230,11.230,9200,516000
,11.170,11.170,11.170,11.170,11600,648000
,10.990,11.110,10.990,10.990,20500,1133000
,11.050,11.050,11.050,11.050,8700,481000
,11.170,11.170,11.170,11.170,4900,274000
,11.230,11.230,11.230,11.230,8700,481000
,11.290,11.290,11.290,11.290,2000,113000
,11.350,11.350,11.350,11.350,1000,57000
,11.530,11.530,11.530,11.530,500,29000
,11.590,11.590,11.590,11.590,600,35000
,11.650,11.650,11.650,11.650,600,35000
,11.710,11.710,11.710,11.710,500,29000
,11.830,11.830,11.830,11.830,400,24000
,11.890,11.890,11.890,11.890,200,12000
,11.950,11.950,11.950,11.950,100,6000
,12.010,12.010,12.010,12.010,100,6000
,12.190,12.190,12.190,12.190,300,18000
,12.310,12.310,12.310,12.310,200,12000
,12.370,12.370,12.370,12.370,300,18000
,12.550,12.550,12.550,12.550,700,44000
,12.610,12.610,12.610,12.610,200,13000
,12.670,12.670,12.670,12.670,400,25000
,12.730,12.730,12.730,12.730,100,6000
,12.790,12.790,12.790,12.790,200,13000
,12.910,12.910,12.910,12.910,1400,90000
,12.970,12.970,12.970,12.970,700,45000
,13.040,13.040,13.040,13.040,1100,72000
,13.110,13.110,13.110,13.110,1400,92000
,4.600,4.700,4.700,4.600,23100,540000
,4.550,4.600,4.550,4.500,18000,412000
,4.500,4.550,4.550,4.500,18800,424000
,4.450,4.750,4.500,4.450,67100,1578000
,4.500,4.500,4.500,4.500,15300,342000
,4.450,4.500,4.500,4.450,14800,330000
,4.400,4.450,4.450,4.400,20200,446000
,4.500,4.550,4.400,4.400,15000,336000
,4.550,4.550,4.550,4.500,18500,417000
,4.500,4.600,4.600,4.500,23500,534000
,4.550,4.600,4.600,4.500,22700,517000
,4.650,4.700,4.650,4.550,30800,711000
,4.700,4.700,4.700,4.600,44900,1043000
,4.550,4.700,4.650,4.550,50500,1167000
,4.700,4.750,4.600,4.500,30100,699000
,4.300,4.700,4.700,4.300,47300,1078000
,4.550,4.550,4.350,4.300,30600,674000
,4.700,4.800,4.550,4.500,25900,603000
,4.850,4.900,4.750,4.700,20200,484000
,4.850,4.950,4.850,4.850,16500,403000
,4.900,4.950,4.950,4.850,17500,429000
,5.000,5.000,4.950,4.900,19000,470000
,4.900,5.000,5.000,4.900,10800,268000
,5.000,5.000,5.000,4.950,14700,367000
,5.050,5.050,5.000,5.000,28600,717000
,5.050,5.100,5.050,5.000,12800,323000
,5.050,5.050,5.000,5.000,23500,589000
,5.050,5.150,5.100,5.000,28500,720000
,5.050,5.100,5.100,5.050,15800,400000
,5.200,5.200,5.100,5.050,18400,470000
,5.000,5.250,5.200,5.000,14600,377000
,5.050,5.100,5.050,5.000,36200,909000
,5.100,5.150,5.050,5.000,26500,671000
,5.100,5.150,5.100,5.100,13200,337000
,5.150,5.150,5.100,5.100,18400,470000
,5.100,5.150,5.100,5.050,0,0
,5.100,5.150,5.100,5.050,24000,611000
,5.150,5.150,5.100,5.100,26100,668000
,5.150,5.200,5.150,5.100,27400,76000
,5.200,5.250,5.200,5.150,31800,828000
,5.250,5.300,5.250,5.200,22700,594000
,5.250,5.300,5.300,5.150,41200,1082000
,5.150,5.300,5.150,5.150,33200,1044000
,5.000,5.200,4.950,4.950,33100,842000
,5.100,5.100,5.000,4.900,25900,640000
,5.200,5.250,5.100,4.900,45600,1140000
,5.250,5.350,5.250,5.150,33900,885000
,5.400,5.400,5.400,5.250,31200,830000
,5.400,5.450,5.400,5.300,25900,695000
,5.300,5.500,5.300,5.300,56500,1536000
,5.400,5.550,5.300,5.250,54400,1455000
,5.650,6.300,5.650,5.400,83700,2451000
,4.600,5.800,4.600,4.500,55300,1455000
,4.600,4.650,4.600,4.600,30300,677000
,4.850,4.900,4.850,4.700,46500,1110000
,5.500,5.500,5.050,4.800,34800,849000
,5.100,5.100,5.000,4.800,45900,1146000
,5.300,5.400,5.300,5.000,44400,1155000
,5.200,5.450,5.200,5.200,39500,1057000
,5.300,5.300,5.200,4.800,31100,779000
,6.000,6.050,6.000,5.450,27100,769000
,6.150,6.200,6.100,6.000,42900,1296000
,6.300,6.350,6.300,6.100,30700,953000
,6.200,6.350,6.200,6.100,25900,809000
,6.500,6.550,6.500,6.000,14300,455000
,6.600,6.650,6.600,6.400,41500,1362000
,12.300,12.450,12.350,12.100,50600,3109000
,12.500,12.500,12.300,12.100,61500,3762000
,12.150,12.200,12.150,11.900,88100,5292000
,12.200,12.200,12.100,11.800,98300,5878000
,12.400,13.000,12.100,12.000,98100,6196000
,11.450,12.500,12.500,11.400,126700,7679000
,11.100,11.400,11.400,11.100,57800,3356000
,11.300,11.300,11.200,11.000,43100,2401000
,11.300,11.300,11.200,11.000,43100,2401000
,11.400,11.400,11.250,11.000,43200,2398000
,11.350,11.450,11.300,11.100,56000,3169000
,11.100,11.500,11.400,11.050,71700,4069000
,11.150,11.150,10.900,10.800,86700,4747000
,11.500,11.500,11.250,11.000,59100,3296000
,11.700,11.800,11.500,11.400,53800,3121000
,11.500,11.800,11.650,11.500,111500,6495000
,11.050,11.600,11.600,11.050,140600,8043000
,11.000,11.300,11.200,10.800,63300,3471000
,11.500,11.500,11.000,10.850,40600,2303000
,11.400,11.800,11.500,11.000,99700,5712000
,10.850,11.400,11.400,10.800,73300,4087000
,11.000,11.000,11.000,10.500,125900,6790000
,12.000,12.000,11.150,10.700,111400,6164000
,12.450,12.800,12.000,11.950,116400,7309000
,11.500,12.500,12.450,11.500,106500,6403000
,12.800,12.800,11.800,11.800,102900,6202000
,13.700,13.750,12.800,12.450,75300,4860000
,13.000,13.800,13.600,13.000,102900,6918000
,13.500,13.700,13.000,12.300,94700,6113000
,14.100,14.650,13.500,13.400,126600,9024000
,12.050,14.200,14.100,12.050,111700,7435000
,14.750,14.750,12.000,10.600,15500,9807000
,15.700,16.000,14.800,14.750,22200,17348000
,15.000,15.900,15.800,15.000,213700,16741000
,14.800,15.800,15.000,14.800,254800,19704000
,11.100,14.800,14.650,11.100,199800,13463000
,10.300,10.550,10.550,9.800,219700,11320000
,10.000,10.950,10.350,10.000,184600,9730000
,10.850,10.850,10.000,9.200,156800,7680000
,10.800,11.650,10.850,10.650,226000,12714000
,9.700,10.800,10.800,9.700,198600,10171000
,9.400,10.200,9.800,9.400,171200,8389000
,8.700,9.400,9.300,8.600,165400,7379000
,8.500,8.600,8.600,8.450,133100,5669000
,8.400,8.800,8.450,8.350,102900,4398000
,7.950,8.650,8.400,7.900,102500,4178000
,8.000,8.000,7.900,7.800,54200,2135000
,7.800,8.000,7.900,7.800,68300,2693000
,7.700,7.750,7.700,7.500,85500,3272000
,7.900,7.900,7.750,7.700,78400,3047000
,8.000,8.000,7.900,7.700,75000,2944000
,8.000,8.400,8.000,8.000,113900,4669000
,7.650,8.000,7.950,7.500,98400,3805000
,8.000,8.000,7.700,7.700,78400,3052000
,8.400,8.650,7.900,7.700,64400,2584000
,8.600,8.800,8.400,8.400,107300,4631000
,8.000,8.400,8.100,6.850,168400,6321000
,8.700,10.100,8.200,8.000,154500,7061000
,6.750,8.800,8.500,6.750,137600,5478000
,5.900,7.000,6.600,5.900,150800,5051000
,4.950,5.700,5.700,4.950,112200,2961000
,5.000,5.000,4.950,4.900,80600,1982000
,4.700,5.100,4.950,4.700,57300,1421000
,10.800,10.850,10.650,10.500,206100,11055000
,11.900,11.900,10.650,10.100,110700,5867000
,11.900,12.000,11.900,11.750,126000,7494000
,11.500,12.300,11.900,11.500,123900,7432000
,11.000,11.550,11.450,10.950,80100,4477000
,11.000,11.000,11.000,10.900,56900,3123000
,11.000,11.250,11.050,11.000,39000,2155000
,11.300,11.300,11.100,11.000,31400,1744000
,11.250,11.300,11.200,11.150,37400,2094000
,11.300,11.350,11.250,11.250,51100,2882000
,11.300,11.550,11.300,11.300,48600,2768000
,11.350,11.350,11.350,10.900,56400,3172000
,11.400,11.500,11.350,11.300,20200,1150000
,11.500,11.500,11.450,11.300,14300,815000
,11.400,11.500,11.400,11.300,13400,763000
,11.450,11.500,11.400,11.300,19200,1096000
,11.600,11.600,11.500,11.300,23500,1350000
,11.500,11.600,11.550,11.500,10300,595000
,11.500,11.600,11.550,11.500,16800,971000
,11.500,11.550,11.400,11.250,43100,2460000
,11.800,11.850,11.450,11.400,34500,1999000
,11.650,11.800,11.750,11.500,131200,7677000
,11.350,11.900,11.650,11.300,35900,2090000
,11.000,11.500,11.500,11.000,34200,1916000
,11.200,11.200,11.150,11.000,50100,2767000
,11.400,11.400,11.200,11.150,43100,2422000
,11.750,11.750,11.450,11.400,33800,1941000
,11.600,11.750,11.700,11.600,34000,1989000
,11.650,11.700,11.700,11.600,51400,3000000
,11.700,11.700,11.650,11.600,25800,1503000
,11.750,11.800,11.650,11.600,39900,2331000
,11.750,11.800,11.700,11.600,54000,3163000
,12.000,12.100,11.800,11.800,31500,1884000
,12.100,12.100,12.050,11.950,29900,1798000
,12.000,12.200,12.050,11.900,19400,1165000
,12.000,12.200,12.000,11.900,28700,1720000
,12.250,12.250,11.900,11.600,20600,1218000
,12.100,12.400,12.250,12.000,66300,4053000
,11.850,12.100,12.000,11.750,49000,2921000
,11.750,11.850,11.800,11.700,54300,3196000
,11.600,11.750,11.750,11.600,47400,2773000
,11.650,11.800,11.650,11.600,44500,2601000
,11.650,11.850,11.800,11.650,45000,2651000
,11.750,11.800,11.750,11.500,43200,2509000
,11.650,11.700,11.700,11.500,37500,2178000
,11.850,11.900,11.700,11.600,28700,1685000
,11.800,12.000,11.850,11.700,53600,3173000
,11.500,11.800,11.800,11.200,53800,3084000
,11.900,11.900,11.600,11.500,49000,2849000
,12.000,12.200,11.900,11.800,64500,3856000
,12.200,12.250,12.050,12.000,51300,3097000
,12.500,12.500,12.250,12.200,42300,2616000
,12.500,12.500,12.450,12.300,42300,2615000
,12.450,12.550,12.500,12.300,60200,3749000
,12.800,12.800,12.550,12.300,116000,7231000
,12.500,12.750,12.750,12.400,145900,9136000
,12.400,12.500,12.500,12.300,113100,7027000
,12.500,12.500,12.400,12.300,59400,3667000
,12.400,12.550,12.450,12.350,89600,5582000
,22.650,23.800,23.750,22.650,437500,51131000
,20.000,23.000,22.500,20.000,343400,37663000
,19.350,20.000,19.900,19.350,208800,20619000
,18.800,19.200,19.200,18.500,161400,15243000
,19.050,19.050,18.850,18.300,115500,10819000
,18.400,19.000,18.900,18.000,191100,17536000
,19.150,19.150,18.550,18.000,136200,12617000
,19.450,19.950,19.300,18.600,205200,19806000
,20.650,20.800,19.600,18.600,1770500,34701800
,18.000,21.200,20.500,17.250,195300,17942000
,19.750,19.750,18.100,18.100,170000,15773000
,21.000,21.150,19.900,19.600,134200,13603000
,20.650,21.000,21.000,20.000,161900,16692000
,21.350,21.600,20.800,20.500,130500,13683000
,20.500,21.400,21.200,20.000,160200,16676000
,22.000,22.000,20.650,19.900,140000,14815000
,23.150,23.150,22.000,21.000,167900,18696000
,23.100,24.000,23.000,22.000,357800,41248000
,21.750,23.500,22.950,20.150,320200,35574000
,24.950,24.950,22.000,21.700,128700,15335000
,25.550,25.550,24.800,24.400,242700,30196000
,25.600,26.500,25.400,25.300,269300,34909000
,25.750,25.750,25.500,24.500,175000,22065000
,26.400,26.500,25.600,24.900,221200,28411000
,26.450,26.800,26.250,25.950,223700,29413000
,25.850,26.300,26.300,25.750,304800,39693000
,24.850,25.800,25.700,23.850,374700,47508000
,24.350,24.800,24.700,23.950,243900,29794000
,24.150,24.600,24.200,22.900,245500,29407000
,24.850,25.800,24.000,23.800,349000,43315000
,23.800,24.900,24.700,23.800,268500,32802000
,23.350,23.650,23.650,22.700,188600,21860000
,22.650,23.200,23.200,22.000,228000,25964000
,23.550,23.550,22.800,22.000,209200,23907000
,22.700,23.500,23.400,22.700,401900,46450000
,21.450,23.000,22.550,21.450,320200,36118000
,20.250,21.500,21.300,19.400,210900,21558000
,20.650,22.000,20.100,19.900,270200,28492000
,22.150,22.150,20.500,18.900,267800,26963000
,20.650,23.650,22.000,20.650,321300,36286000
,17.950,18.050,17.950,17.500,223100,19977000
,16.450,17.500,17.050,16.400,307100,25762000
,16.200,16.400,16.300,16.000,254600,20695000
,16.200,16.200,16.100,15.700,166700,13355000
,16.550,16.700,16.150,15.700,206200,16686000
,16.400,16.800,16.400,16.000,286900,23613000
,15.850,16.450,16.250,15.850,263900,21374000
,15.000,16.000,15.700,14.850,220800,16964000
,15.150,15.150,14.950,14.650,151900,11288000
,15.500,15.600,15.000,14.550,152100,11423000
,15.900,16.300,15.550,15.100,212200,16835000
,14.950,16.100,15.850,14.850,315000,24495000
,16.450,17.000,15.000,14.500,277900,21910000
,15.800,16.900,16.300,15.800,295300,24339000
,13.250,15.650,15.650,13.250,210400,15989000
,12.600,13.200,13.100,12.350,278900,17707000
,12.700,12.750,12.450,12.150,236600,14673000
,11.450,12.800,12.550,11.450,179800,11223000
,10.700,11.300,11.300,10.600,197900,10798000
,10.550,10.800,10.600,10.400,168500,8948000
,10.800,10.800,10.400,10.300,85800,4521000
,10.800,10.950,10.800,10.750,150300,8125000
,10.800,11.000,10.750,10.650,210200,11363000
,26.200,26.200,25.950,25.800,624500,16205800
,26.000,26.200,26.150,25.800,444000,1157000
,26.250,26.400,26.100,25.900,114000,14907000
,26.650,27.000,26.200,26.000,301600,40115000
,25.450,26.500,26.500,25.450,234100,30586000
,24.950,25.600,25.300,24.950,72700,9205000
,25.000,25.150,24.800,24.800,61900,7724000
,25.000,25.500,24.950,24.900,70900,8876000
,25.500,25.700,25.100,25.000,90200,11405000
,25.200,25.850,25.500,25.200,141500,18082000
,25.000,25.200,25.050,24.800,98300,12269000
,24.650,25.550,25.000,24.500,153700,19172000
,25.700,26.300,24.800,24.800,223400,28806000
,25.000,25.550,25.550,24.500,244600,30653000
,25.350,25.800,25.050,24.600,1703500,42672700
,24.950,25.200,25.200,24.000,330100,40953000
,22.500,24.900,24.800,21.800,247600,28608000
,23.550,23.550,22.600,22.500,311100,35038000
,24.800,24.800,23.700,23.500,228600,27535000
,25.750,25.750,24.850,24.500,157100,19683000
,25.000,25.700,25.600,24.100,219200,27064000
,25.500,25.800,25.100,24.900,110300,13939000
,26.150,26.150,25.600,25.200,101800,13066000
,26.400,26.450,26.300,26.000,137500,18071000
,26.600,26.900,26.400,26.000,200400,26360000
,25.550,26.800,26.450,25.400,328900,42997000
,26.600,26.600,25.700,25.500,221700,28757000
,27.000,27.000,26.500,26.200,209700,27993000
,27.600,27.600,27.600,26.600,248800,33777000
,27.600,28.000,27.600,27.350,173400,23983000
,27.450,28.000,27.500,27.350,156500,21554000
,27.900,28.300,27.600,27.400,201300,27899000
,27.750,29.000,27.900,27.750,394800,55826000
,26.500,27.900,27.600,26.500,325000,44321000
,27.200,27.350,26.600,26.200,369100,49485000
,27.500,28.300,27.200,26.850,333800,46308000
,29.100,29.100,27.500,25.800,71100,9698000
,28.300,29.500,29.000,28.300,160000,23179000
,27.300,28.400,28.300,27.000,204800,28565000
,27.500,27.600,27.450,27.000,203500,27744000
,27.400,27.900,27.500,27.000,228200,31254000
,25.950,27.950,27.250,25.750,270800,36591000
,27.900,27.900,26.100,26.000,1539500,40181000
